date,candidate_id,proposal_hash,source,expected_direction,stage,dev_ic,dev_t,blend_dev_gain,virgin_ic,virgin_t,virgin_n,holdout_ic,holdout_t,holdout_n,holdout_p_onesided,fresh_ic,fresh_t,fresh_n,family_n,bh_threshold,verdict,reasons,expression,canonical,lookback,n_nodes,coverage,screen_pass,blend_by_tier,mechanism_tag,cluster_id,cluster_rep,redundant_with,max_corr,corr_with,residual_dev_ic,residual_dev_t,residual_vs,model_dev_t,model_holdout_t,oracle_flags,quarantined,horizon,pooled_ic,pooled_t,pooled_n,pooled_p_onesided,recent_ic,recent_t,recent_n,recent_p_onesided,adoption_tier,rule_version
2026-09-02,quietday_ret_60,4aec69e6d0c4,cc-miner:cc_20260902_volprice,positive,screen,-0.0078100802408074,-0.4722647550799058,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * lt(volume, ts_mean(volume, 60)), 60)","ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 60)",120.0,7.0,0.9991482081692612,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,quietday_ret_120,93cb99822108,cc-miner:cc_20260902_volprice,positive,screen,0.000944611084517,0.0564035285402455,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * lt(volume, ts_mean(volume, 60)), 120)","ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 120)",180.0,7.0,0.998715093679055,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,quiet_minus_loud_20,00a7a987aa31,cc-miner:cc_20260902_volprice,positive,screen,0.009946883289923,0.949479630455056,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * sign(ts_mean(volume, 60) - volume), 20)","ts_sum(mul(returns, sign(sub(ts_mean(volume, 60), volume))), 20)",80.0,8.0,0.999436951162732,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,thinvol_wret_20,b729ccd3b7d6,cc-miner:cc_20260902_volprice,positive,screen,0.007990079313186,0.4221524185307667,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * ts_mean(dollar_volume, 60) / dollar_volume, 20)","ts_sum(div(mul(returns, ts_mean(dollar_volume, 60)), dollar_volume), 20)",80.0,7.0,0.99941890472564,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,quiet_sign_20,251de9136a20,cc-miner:cc_20260902_volprice,positive,screen,0.0057513244255479,0.4970532868324023,,,,,,,,,,,,,,screen_fail,,"ts_sum(sign(returns) * lt(volume, ts_mean(volume, 60)), 20)","ts_sum(mul(sign(returns), lt(volume, ts_mean(volume, 60))), 20)",80.0,8.0,0.999436951162732,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,corr_ret_vol_60,86be2966da6a,cc-miner:cc_20260902_volprice,negative,screen,-0.0013707741607597,-0.1315998159553496,,,,,,,,,,,,,,screen_fail,,"ts_corr(returns, volume, 60)","ts_corr(returns, volume, 60)",61.0,3.0,0.9995668855097938,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,overnight_ret_20,8d956589562d,cc-miner:cc_20260902_volprice,positive,screen,-0.0117757262350994,-0.6028874289197856,,,,,,,,,,,,,,screen_fail,,"ts_sum(open / delay(close, 1) - 1, 20)","ts_sum(sub(div(open, delay(close, 1)), 1), 20)",21.0,6.0,0.9998556285032646,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,intraday_ret_20,43b8fcbd6b89,cc-miner:cc_20260902_volprice,negative,screen,0.0167925249152316,1.013890941274786,,,,,,,,,,,,,,screen_fail,,"ts_sum(close / open - 1, 20)","ts_sum(sub(div(close, open), 1), 20)",20.0,5.0,0.9998628470781014,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,overnight_ret_60,01a861bd902c,cc-miner:cc_20260902_volprice,positive,screen,-0.0208343709312103,-1.0889678623957797,,,,,,,,,,,,,,screen_fail,,"ts_sum(open / delay(close, 1) - 1, 60)","ts_sum(sub(div(open, delay(close, 1)), 1), 60)",61.0,6.0,0.9995668855097938,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,intraday_ret_60,ac7609045634,cc-miner:cc_20260902_volprice,negative,screen,-0.01485780808205,-0.8583521304298113,,,,,,,,,,,,,,screen_fail,,"ts_sum(close / open - 1, 60)","ts_sum(sub(div(close, open), 1), 60)",60.0,5.0,0.9995741040846304,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,gap_x_vol_20,2cad34e4fe29,cc-miner:cc_20260902_volprice,positive,screen,-0.0024635534879351,-0.1845357735938727,,,,,,,,,,,,,,screen_fail,,"ts_sum((open / delay(close, 1) - 1) * ts_zscore(log(volume), 60), 20)","ts_sum(mul(sub(div(open, delay(close, 1)), 1), ts_zscore(log(volume), 60)), 20)",80.0,10.0,0.999436951162732,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,gap_loud_20,78f08945726b,cc-miner:cc_20260902_volprice,positive,screen,0.004316521998278,0.4968678415776844,,,,,,,,,,,,,,screen_fail,,"ts_sum((open / delay(close, 1) - 1) * gt(volume, 2 * ts_mean(volume, 60)), 20)","ts_sum(mul(sub(div(open, delay(close, 1)), 1), gt(volume, mul(2, ts_mean(volume, 60)))), 20)",80.0,12.0,0.999436951162732,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,amihud_shock_20_120,ef6f06fa43db,cc-miner:cc_20260902_volprice,negative,screen,0.0135909670143097,0.7903329916154941,,,,,,,,,,,,,,screen_fail,,"ts_mean(abs(returns) / dollar_volume, 20) / ts_mean(abs(returns) / dollar_volume, 120)","div(ts_mean(div(abs(returns), dollar_volume), 20), ts_mean(div(abs(returns), dollar_volume), 120))",121.0,11.0,0.9991157245824956,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,volchg_conf_20,d743680493cb,cc-miner:cc_20260902_volprice,negative,screen,,,,,,,,,,,,,,,,error,,"ts_sum(returns * sign(delta(volume, 1)), 20)",,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,cgo_vwap_250,8686d03b8986,cc-miner:cc_20260902_volprice,positive,screen,0.0137175048519257,0.5906600110779184,,,,,,,,,,,,,,screen_fail,,"close / (ts_sum(typical * volume, 250) / ts_sum(volume, 250)) - 1","sub(div(close, div(ts_sum(mul(typical, volume), 250), ts_sum(volume, 250))), 1)",250.0,10.0,0.9978488646986424,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,cgo_vwap_120,ab34634c9b2b,cc-miner:cc_20260902_volprice,positive,screen,-0.0106292908193444,-0.4930612605312394,,,,,,,,,,,,,,screen_fail,,"close / (ts_sum(typical * volume, 120) / ts_sum(volume, 120)) - 1","sub(div(close, div(ts_sum(mul(typical, volume), 120), ts_sum(volume, 120))), 1)",120.0,10.0,0.9991409895944244,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,vwap_over_ma_250,73315388534c,cc-miner:cc_20260902_volprice,negative,screen,0.0060623567836125,0.3984377769342063,,,,,,,,,,,,,,screen_fail,,"(ts_sum(typical * volume, 250) / ts_sum(volume, 250)) / ts_mean(typical, 250) - 1","sub(div(div(ts_sum(mul(typical, volume), 250), ts_sum(volume, 250)), ts_mean(typical, 250)), 1)",250.0,11.0,0.9978488646986424,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,amihud_asym_60,e1cf0f827fed,cc-miner:cc_20260902_volprice,positive,screen,0.0223965668970429,1.050971147446412,,,,,,,,,,,,,,screen_fail,,"ts_mean(abs(returns) * lt(returns, 0) / dollar_volume, 60) / ts_mean(abs(returns) * gt(returns, 0) / dollar_volume, 60)","div(ts_mean(div(mul(abs(returns), lt(returns, 0)), dollar_volume), 60), ts_mean(div(mul(abs(returns), gt(returns, 0)), dollar_volume), 60))",61.0,17.0,0.999548839072702,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,amihud_60,6113d98277a9,cc-miner:cc_20260902_volprice,positive,screen,-0.0443628905008755,-2.5944439120755103,,,,,,,,,,,,,,screen_fail,,"ts_mean(abs(returns) / dollar_volume, 60)","ts_mean(div(abs(returns), dollar_volume), 60)",61.0,5.0,0.999548839072702,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,vol_chases_ret_20,82e6c5863718,cc-miner:cc_20260902_volprice,negative,screen,0.0064519256927882,0.548773754152432,,,,,,,,,,,,,,screen_fail,,"ts_corr(delay(returns, 1), volume, 20)","ts_corr(delay(returns, 1), volume, 20)",22.0,4.0,0.9998484099284278,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,loud_absret_20,1fcf656e024d,cc-miner:cc_20260902_volprice,negative,screen,-0.0104307995185424,-0.999307426283838,,,,,,,,,,,,,,screen_fail,,"ts_sum(abs(returns) * gt(volume, 2 * ts_mean(volume, 60)), 20)","ts_sum(mul(abs(returns), gt(volume, mul(2, ts_mean(volume, 60)))), 20)",80.0,9.0,0.999436951162732,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,amihud_asym_120,650b5d82cd15,cc-miner:cc_20260902_volprice,positive,screen,-0.0037795712603186,-0.1644619594213142,,,,,,,,,,,,,,screen_fail,,"ts_mean(abs(returns) * lt(returns, 0) / dollar_volume, 120) / ts_mean(abs(returns) * gt(returns, 0) / dollar_volume, 120)","div(ts_mean(div(mul(abs(returns), lt(returns, 0)), dollar_volume), 120), ts_mean(div(mul(abs(returns), gt(returns, 0)), dollar_volume), 120))",121.0,17.0,0.9991157245824956,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,high52_volconf_10,2a36ee43189f,cc-miner:cc_20260902_volprice,positive,screen,-0.0014665246213509,-0.0801375619054002,,,,,,,,,,,,,,screen_fail,,"gt(close / ts_max(high, 250), 0.95) * log(ts_mean(volume, 10) / ts_mean(volume, 60))","mul(gt(div(close, ts_max(high, 250)), 0.95), log(div(ts_mean(volume, 10), ts_mean(volume, 60))))",250.0,12.0,0.9978488646986424,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,high52_volconf_5,0b0135802c10,cc-miner:cc_20260902_volprice,positive,screen,-0.0007268786828086,-0.0397922754456221,,,,,,,,,,,,,,screen_fail,,"gt(close / ts_max(high, 250), 0.95) * log(ts_mean(volume, 5) / ts_mean(volume, 60))","mul(gt(div(close, ts_max(high, 250)), 0.95), log(div(ts_mean(volume, 5), ts_mean(volume, 60))))",250.0,12.0,0.9978488646986424,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,loud_absret_60,462eac6f56c7,cc-miner:cc_20260902_volprice,negative,screen,-0.0074054562996786,-0.4928723081140445,,,,,,,,,,,,,,screen_fail,,"ts_sum(abs(returns) * gt(volume, 2 * ts_mean(volume, 60)), 60)","ts_sum(mul(abs(returns), gt(volume, mul(2, ts_mean(volume, 60)))), 60)",120.0,9.0,0.9991482081692612,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_5,7f26138b08bb,cc-miner:cc_20260902_round2,negative,screen,-0.0053851887602716,-0.47193628101433,,,,,,,,,,,,,,screen_fail,,"ts_sum(sub(div(open, delay(close, 1)), 1), 5)","ts_sum(sub(div(open, delay(close, 1)), 1), 5)",6.0,6.0,0.9999639071258162,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_10,0439e0cfe528,cc-miner:cc_20260902_round2,negative,screen,-0.0100276769951366,-0.6781168499544915,,,,,,,,,,,,,,screen_fail,,"ts_sum(sub(div(open, delay(close, 1)), 1), 10)","ts_sum(sub(div(open, delay(close, 1)), 1), 10)",11.0,6.0,0.9999278142516324,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_20_volscaled,b27031c86690,cc-miner:cc_20260902_round2,negative,screen,0.0011625020410105,0.0698197263570093,,,,,,,,,,,,,,screen_fail,,"div(ts_sum(sub(div(open, delay(close, 1)), 1), 20), ts_std(sub(div(open, delay(close, 1)), 1), 60))","div(ts_sum(sub(div(open, delay(close, 1)), 1), 20), ts_std(sub(div(open, delay(close, 1)), 1), 60))",61.0,13.0,0.9995668855097938,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_updays_20,8800f10e4203,cc-miner:cc_20260902_round2,negative,screen,-0.0126673454505855,-0.7279242606121858,,,,,,,,,,,,,,screen_fail,,"ts_mean(gt(open, delay(close, 1)), 20)","ts_mean(gt(open, delay(close, 1)), 20)",21.0,5.0,0.9998556285032646,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_20_orth_ret20,74a8746f713d,cc-miner:cc_20260902_round2,negative,screen,-0.0126401552328643,-0.8769628843798276,,,,,,,,,,,,,,screen_fail,,"sub(rank(ts_sum(sub(div(open, delay(close, 1)), 1), 20)), rank(ts_sum(returns, 20)))","sub(rank(ts_sum(sub(div(open, delay(close, 1)), 1), 20)), rank(ts_sum(returns, 20)))",21.0,11.0,0.9998556285032646,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_20_orth_ret5,fdacaf18d330,cc-miner:cc_20260902_round2,negative,screen,-0.0040098197369203,-0.2763857432434382,,,,,,,,,,,,,,screen_fail,,"sub(rank(ts_sum(sub(div(open, delay(close, 1)), 1), 20)), rank(ts_sum(returns, 5)))","sub(rank(ts_sum(sub(div(open, delay(close, 1)), 1), 20)), rank(ts_sum(returns, 5)))",21.0,11.0,0.9998556285032646,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_20_x_hardval,8e0364016f82,cc-miner:cc_20260902_round2,negative,screen,-0.0088644995911591,-0.5279668367995367,,,,,,,,,,,,,,screen_fail,,"mul(sub(rank(ts_sum(sub(div(open, delay(close, 1)), 1), 20)), 0.5), rank(ts_std(returns, 60)))","mul(sub(rank(ts_sum(sub(div(open, delay(close, 1)), 1), 20)), 0.5), rank(ts_std(returns, 60)))",61.0,12.0,0.9995668855097938,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,on_ret_20_tsz200,3bb02c6ea764,cc-miner:cc_20260902_round2,negative,screen,-0.0038186940737451,-0.2567669249973803,,,,,,,,,,,,,,screen_fail,,"ts_zscore(ts_mean(sub(div(open, delay(close, 1)), 1), 20), 200)","ts_zscore(ts_mean(sub(div(open, delay(close, 1)), 1), 20), 200)",221.0,7.0,0.9982819791888488,False,,隔夜收益情绪反转（Aboody-Even-Tov-Lehavy-Trueman：高隔夜收益 = 个股情绪，随后反转）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,quiet_ret_20_dv200,d12efa26e192,cc-miner:cc_20260902_round2,positive,screen,0.0210049858242458,1.6467090791435863,,,,,,,,,,,,,,screen_fail,,"ts_sum(mul(returns, lt(dollar_volume, ts_mean(dollar_volume, 200))), 20)","ts_sum(mul(returns, lt(dollar_volume, ts_mean(dollar_volume, 200))), 20)",220.0,7.0,0.9982964163385224,False,,静量日 vs 放量日收益分解（quietday / loudday / quiet_minus_loud）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,qml_20_orth_ret20,5f03f032f750,cc-miner:cc_20260902_round2,positive,screen,0.0051474129492786,0.3440443258640922,,,,,,,,,,,,,,screen_fail,,"sub(rank(ts_sum(mul(returns, sign(sub(ts_mean(volume, 60), volume))), 20)), rank(ts_sum(returns, 20)))","sub(rank(ts_sum(mul(returns, sign(sub(ts_mean(volume, 60), volume))), 20)), rank(ts_sum(returns, 20)))",80.0,13.0,0.999436951162732,False,,静量日 vs 放量日收益分解（quietday / loudday / quiet_minus_loud）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,quiet_ret_20_volscaled,deb4bf5a6ccb,cc-miner:cc_20260902_round2,positive,screen,0.0141453407290392,1.1428143911130997,,,,,,,,,,,,,,screen_fail,,"div(ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 20), ts_std(returns, 20))","div(ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 20), ts_std(returns, 20))",80.0,10.0,0.999436951162732,False,,静量日 vs 放量日收益分解（quietday / loudday / quiet_minus_loud）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,amihud_asym_cnt_60,470b8f502692,cc-miner:cc_20260902_round2,positive,screen,-0.0002690507256759,-0.0193942238102084,,,,,,,,,,,,,,screen_fail,,"div(div(ts_sum(mul(div(abs(returns), dollar_volume), lt(returns, 0)), 60), ts_sum(lt(returns, 0), 60)), div(ts_sum(mul(div(abs(returns), dollar_volume), gt(returns, 0)), 60), ts_sum(gt(returns, 0), 60)))","div(div(ts_sum(mul(div(abs(returns), dollar_volume), lt(returns, 0)), 60), ts_sum(lt(returns, 0), 60)), div(ts_sum(mul(div(abs(returns), dollar_volume), gt(returns, 0)), 60), ts_sum(gt(returns, 0), 60)))",61.0,25.0,0.999548839072702,False,,Amihud 买卖非对称（下跌日/上涨日价格冲击比，Brennan-Huh-Subrahmanyam 卖方非流动性）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,amihud_asym_cnt_60_orth,5d1c9d0febab,cc-miner:cc_20260902_round2,positive,screen,,,,,,,,,,,,,,,,error,,"add(rank(div(div(ts_sum(mul(div(abs(returns), dollar_volume), lt(returns, 0)), 60), ts_sum(lt(returns, 0), 60)), div(ts_sum(mul(div(abs(returns), dollar_volume), gt(returns, 0)), 60), ts_sum(gt(returns, 0), 60)))), rank(ts_sum(returns, 60)))",,,,,False,,Amihud 买卖非对称（下跌日/上涨日价格冲击比，Brennan-Huh-Subrahmanyam 卖方非流动性）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,volvol_cv_60,fde5702a1f3d,cc-miner:cc_20260902_round2,negative,screen,-0.020232637516304,-2.084497202304576,,,,,,,,,,,,,,screen_pass,,"div(ts_std(dollar_volume, 60), ts_mean(dollar_volume, 60))","div(ts_std(dollar_volume, 60), ts_mean(dollar_volume, 60))",60.0,5.0,0.9995741040846304,True,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,volvol_maxratio_20_60_blend,False,volvol_maxratio_20_60_blend,0.872,batch:volvol_maxratio_60,-0.0053910116447089,-0.5985282067667667,batch:volvol_maxratio_60,,,,,,,,,,,,,,,
2026-09-02,volvol_logstd_60,b52b4684c5ff,cc-miner:cc_20260902_round2,negative,screen,-0.008774878204163,-0.6688785596878456,,,,,,,,,,,,,,screen_fail,,"ts_std(log(volume), 60)","ts_std(log(volume), 60)",60.0,3.0,0.9995741040846304,False,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,rskew_20,b9c4fb673771,cc-miner:cc_20260902_round2,negative,screen,0.0140866898427786,0.9642398011000032,,,,,,,,,,,,,,screen_fail,,"div(ts_mean(pow(returns, 3), 20), pow(ts_std(returns, 20), 3))","div(ts_mean(pow(returns, 3), 20), pow(ts_std(returns, 20), 3))",21.0,7.0,0.9998556285032646,False,,已实现偏度（Amaya 等，正偏度 = 彩票偏好，负向）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,volvol_cv_share_60,91141bf3e5f6,cc-miner:cc_20260902_round2,negative,screen,-0.0140346734738,-1.2397861260243543,,,,,,,,,,,,,,screen_fail,,"div(ts_std(volume, 60), ts_mean(volume, 60))","div(ts_std(volume, 60), ts_mean(volume, 60))",60.0,5.0,0.9995741040846304,False,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,volvol_cv_60_orth_rv,6188017fd8b0,cc-miner:cc_20260902_round2,negative,screen,-0.0204292724058034,-0.9602273831776152,,,,,,,,,,,,,,screen_fail,,"sub(rank(div(ts_std(dollar_volume, 60), ts_mean(dollar_volume, 60))), rank(ts_std(returns, 60)))","sub(rank(div(ts_std(dollar_volume, 60), ts_mean(dollar_volume, 60))), rank(ts_std(returns, 60)))",61.0,10.0,0.9995668855097938,False,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,volvol_cv_120,3fa66c9cb6c8,cc-miner:cc_20260902_round2,negative,screen,-0.0101167074606245,-1.0530719971768636,,,,,,,,,,,,,,screen_fail,,"div(ts_std(dollar_volume, 120), ts_mean(dollar_volume, 120))","div(ts_std(dollar_volume, 120), ts_mean(dollar_volume, 120))",120.0,5.0,0.9991409895944244,False,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,volvol_cv_20,0ad82d98ed01,cc-miner:cc_20260902_round2,negative,screen,-0.0194464998624188,-2.3357502094212985,,,,,,,,,,,,,,screen_pass,,"div(ts_std(dollar_volume, 20), ts_mean(dollar_volume, 20))","div(ts_std(dollar_volume, 20), ts_mean(dollar_volume, 20))",20.0,5.0,0.9998628470781014,True,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,volvol_maxratio_20_60_blend,False,volvol_maxratio_20_60_blend,0.912,batch:volvol_maxratio_20,-0.0033990542185116,-0.464831865276981,batch:volvol_maxratio_20,,,,,,,,,,,,,,,
2026-09-02,volvol_maxratio_60,733e8a98089c,cc-miner:cc_20260902_round2,negative,screen,-0.0207681794975134,-2.555307495602192,,,,,,,,,,,,,,screen_pass,,"div(ts_max(dollar_volume, 60), ts_mean(dollar_volume, 60))","div(ts_max(dollar_volume, 60), ts_mean(dollar_volume, 60))",60.0,5.0,0.9995741040846304,True,,成交量波动率（Chordia-Subrahmanyam-Anshuman 流动性波动性折价）,volvol_maxratio_20_60_blend,False,volvol_maxratio_20_60_blend,0.973,batch:volvol_maxratio_share_60,-0.0053178593004063,-0.5944433388051021,batch:volvol_maxratio_share_60,,,,,,,,,,,,,,,
2026-09-02,quiet_ret_20_dv200_volscaled,aefdfd3b9b28,cc-miner:cc_20260902_round2,positive,screen,0.0231726337683165,1.790577456825466,,,,,,,,,,,,,,screen_fail,,"div(ts_sum(mul(returns, lt(dollar_volume, ts_mean(dollar_volume, 200))), 20), ts_std(returns, 20))","div(ts_sum(mul(returns, lt(dollar_volume, ts_mean(dollar_volume, 200))), 20), ts_std(returns, 20))",220.0,10.0,0.9982964163385224,False,,静量日 vs 放量日收益分解（quietday / loudday / quiet_minus_loud）,,,,,,,,,,,,,,,,,,,,,,,
